Benefit Group,Dental Code,Description,Frequency/Limitations,In-Network Coverage,Out-of-Network Coverage
Extractions,D7210P,"Extraction, erupted tooth requiring removal of bone and/or sectioning of tooth",1 of (D7140-D7251) per tooth per lifetime; D7250 requires evidence of previous failed extraction with retained root and not by same provider or group,-,-
Diagnostic (Preventive) Services,D7220,"Removal of impacted tooth, soft tissue",1 of (D7140-D7251) per tooth per lifetime; D7250 requires evidence of previous failed extraction with retained root and not by same provider or group,-,-
Diagnostic (Preventive) Services,D7230,"Removal of impacted tooth, partially bony",1 of (D7140-D7251) per tooth per lifetime; D7250 requires evidence of previous failed extraction with retained root and not by same provider or group,-,-
Diagnostic (Preventive) Services,D7240,"Removal of impacted tooth, completely bony",1 of (D7140-D7251) per tooth per lifetime; D7250 requires evidence of previous failed extraction with retained root and not by same provider or group,-,-
Diagnostic (Preventive) Services,D7241,"Removal impacted tooth, complete bony, complication",1 of (D7140-D7251) per tooth per lifetime; D7250 requires evidence of previous failed extraction with retained root and not by same provider or group,-,-
Diagnostic (Preventive) Services,D7250P,Removal of residual tooth roots (cutting procedure),1 of (D7140-D7251) per tooth per lifetime; D7250 requires evidence of previous failed extraction with retained root and not by same provider or group,-,-
Diagnostic (Preventive) Services,D7251,"Coronectomy - intentional partial tooth removal, impacted teeth only",1 of (D7140-D7251) per tooth per lifetime; D7250 requires evidence of previous failed extraction with retained root and not by same provider or group,-,-
Diagnostic (Preventive) Services,D7260,Oroantral fistula closure,"1 of (D7260, D7261) per quadrant per date of service",-,-
Diagnostic (Preventive) Services,D7261,Primary closure of a sinus perforation,"1 of (D7260, D7261) per quadrant per date of service",-,-
Implants,D7270,"Tooth reimplantation and/or stabilization, accident",1 of (D7270-D7282) per tooth per lifetime,-,-
Diagnostic (Preventive) Services,D7272,Tooth transplantation,1 of (D7270-D7282) per tooth per lifetime,-,-
Diagnostic (Preventive) Services,D7280,Exposure of an unerupted tooth,1 of (D7270-D7282) per tooth per lifetime,-,-
Diagnostic (Preventive) Services,D7282,Mobilization of erupted/malpositioned tooth,1 of (D7270-D7282) per tooth per lifetime,-,-
Diagnostic (Preventive) Services,D7285,"Incisional biopsy of oral tissue, hard (bone, tooth)","1 of (D7285, D7286, D7288) every 2 plan years; 1 of (D7287) per site every 2 plan years",-,-
Diagnostic (Preventive) Services,D7286,"Incisional biopsy of oral tissue, soft","1 of (D7285, D7286, D7288) every 2 plan years; 1 of (D7287) per site every 2 plan years",-,-
Diagnostic (Preventive) Services,D7287,Exfoliative cytological sample collection,"1 of (D7285, D7286, D7288) every 2 plan years; 1 of (D7287) per site every 2 plan years",-,-
Diagnostic (Preventive) Services,D7288,"Brush biopsy, transepithelial sample collection","1 of (D7285, D7286, D7288) every 2 plan years; 1 of (D7287) per site every 2 plan years",-,-
Extractions,D7310P,"Alveoloplasty with extractions, four or more teeth per quadrant",1 of (D7310-D7321) per quadrant per lifetime. Only in preparation for a treatment planned complete denture or partial denture with an edentulous space of at least three contiguous teeth,-,-
Extractions,D7311P,"Alveoloplasty with extractions, one to three teeth per quadrant",1 of (D7310-D7321) per quadrant per lifetime. Only in preparation for a treatment planned complete denture or partial denture with an edentulous space of at least three contiguous teeth,-,-
Extractions,D7320P,"Alveoloplasty, w/o extractions, four or more teeth per quadrant",1 of (D7310-D7321) per quadrant per lifetime. Only in preparation for a treatment planned complete denture or partial denture with an edentulous space of at least three contiguous teeth,-,-
Extractions,D7321P,"Alveoloplasty, w/o extractions, one to three teeth per quadrant",1 of (D7310-D7321) per quadrant per lifetime. Only in preparation for a treatment planned complete denture or partial denture with an edentulous space of at least three contiguous teeth,-,-
Diagnostic (Preventive) Services,D7340,"Vestibuloplasty, ridge extension (2nd epithelialization)","1 of (D7340, D7350) per quadrant every 5 plan years",-,-
Diagnostic (Preventive) Services,D7350,"Vestibuloplasty, ridge extension","1 of (D7340, D7350) per quadrant every 5 plan years",-,-
Diagnostic (Preventive) Services,D7410,"Excision of benign lesion, up to 1.25 cm",1 of (D7410-D7465) per date of service,-,-
Diagnostic (Preventive) Services,D7411,"Excision of benign lesion, greater than 1.25 cm",1 of (D7410-D7465) per date of service,-,-
Diagnostic (Preventive) Services,D7412,"Excision of benign lesion, complicated",1 of (D7410-D7465) per date of service,-,-
Diagnostic (Preventive) Services,D7413,"Excision of malignant lesion, up to 1.25 cm",1 of (D7410-D7465) per date of service,-,-
Diagnostic (Preventive) Services,D7414,"Excision of malignant lesion, greater than 1.25 cm",1 of (D7410-D7465) per date of service,-,-
Diagnostic (Preventive) Services,D7415,"Excision of malignant lesion, complicated",1 of (D7410-D7465) per date of service,-,-
Diagnostic (Preventive) Services,D7440,"Excision of malignant tumor, up to 1.25 cm",1 of (D7410-D7465) per date of service,-,-
Diagnostic (Preventive) Services,D7441,"Excision of malignant tumor, greater than 1.25 cm",1 of (D7410-D7465) per date of service,-,-
Diagnostic (Preventive) Services,D7450,"Removal, benign odontogenic cyst/tumor, up to 1.25 cm",1 of (D7410-D7465) per date of service,-,-
Diagnostic (Preventive) Services,D7451,"Removal, benign odontogenic cyst/tumor, greater than 1.25 cm",1 of (D7410-D7465) per date of service,-,-
Diagnostic (Preventive) Services,D7460,"Removal, benign nonodontogenic cyst/tumor, up to 1.25 cm",1 of (D7410-D7465) per date of service,-,-
Diagnostic (Preventive) Services,D7461,"Removal, benign nonodontogenic cyst/tumor, greater than 1.25 cm",1 of (D7410-D7465) per date of service,-,-
Diagnostic (Preventive) Services,D7465,"Destruction of lesion(s) by physical or chemical method, by report",1 of (D7410-D7465) per date of service,-,-
Diagnostic (Preventive) Services,D7471,"Removal of lateral exostosis, maxilla or mandible",1 of (D7471) per arch per lifetime,-,-
Diagnostic (Preventive) Services,D7472,Removal of torus palatinus,1 of (D7472) per lifetime,-,-
Diagnostic (Preventive) Services,D7473,Removal of torus mandibularis,1 of (D7473) per quadrant per lifetime,-,-
Periodontics,D7485,Reduction of osseous tuberosity,1 of (D7485) per quadrant per lifetime,-,-
Diagnostic (Preventive) Services,D7509,Marsupialization of odontogenic cyst,1 of (D7509) per date of service,-,-
Intraoral X-rays (inside the mouth),D7510,"Incision & drainage of abscess, intraoral soft tissue",1 of (D7510-D7540) per date of service,-,-
Intraoral X-rays (inside the mouth),D7511,"Incision & drainage of abscess, intraoral soft tissue, complicated",1 of (D7510-D7540) per date of service,-,-
Diagnostic (Preventive) Services,D7520,"Incision & drainage of abscess, extraoral soft tissue",1 of (D7510-D7540) per date of service,-,-
Diagnostic (Preventive) Services,D7521,"Incision & drainage of abscess, extraoral soft tissue, complicated",1 of (D7510-D7540) per date of service,-,-
Diagnostic (Preventive) Services,D7530,"Remove foreign body, mucosa, skin, tissue",1 of (D7510-D7540) per date of service,-,-
Diagnostic (Preventive) Services,D7540,"Removal of reaction producing foreign bodies, musculoskeletal system",1 of (D7510-D7540) per date of service,-,-
Diagnostic (Preventive) Services,D7970,"Excision of hyperplastic tissue, per arch",1 of (D7970) per arch every 5 plan years,-,-
Periodontics,D7971,Excision of pericoronal gingiva,1 of (D7971) per tooth per lifetime,-,-
Diagnostic (Preventive) Services,D7972,Surgical Reduction of Fibrous Tuberosity,1 of (D7972) per maxillary quadrant per lifetime,-,-
Diagnostic (Preventive) Services,D9110,"Palliative (emergency) treatment, minor procedure",1 of (D9110) every plan year,-,-
Dentures,D9120,Fixed Partial Denture Sectioning,1 of (D9120) every plan year,-,-
Diagnostic (Preventive) Services,D9410,House/Extended Care Facility Call,"1 of (D9410, D9420, D9997) per date of service",-,-
Diagnostic (Preventive) Services,D9420,Hospital or ambulatory surgical center call,"1 of (D9410, D9420, D9997) per date of service",-,-
Diagnostic (Preventive) Services,D9995,Teledentistry - synchronous; real- time encounter,1 of (D9995-D9996) per date of service,-,-
Diagnostic (Preventive) Services,D9996,Teledentistry - asynchronous; information stored and forwarded to dentist for subsequent review,1 of (D9995-D9996) per date of service,-,-
Diagnostic (Preventive) Services,D9997,Dental Case Management - patients with special needs,"1 of (D9410, D9420, D9997) per date of service",-,-
